X,Y,OBJECTID,BSID,LNG,LAT,X_COORD,Y_COORD,STATUS,ROUTES,STOPNAME,DIR,GPS_YEAR,GPS_DATE,DISTANCE_FROM_STREET,BETWEEN_STREET_DISTANCE,Z_ELEVATION,DISTRICT,CITY,PARCEL_ID_NUMBER,POSTAL,PID,COUNTY,LOCATION,TEAMBOUNDARY,PICTURE,SE_ANNO_CAD_DATA,CORNER,RUNBOARD,COMMENTS,ON_STREET,AT_STREET,BETWEEN_STREET,STATION_ID,HUBABBR,HUBNAME,SBOARDS,STOPNAME_BSID
-11687518.7306,4825965.9721,7925195,12325,-104.990757,39.724343,3143241.62560085,1689122.89529596,active,52,Bannock St & W 5th Ave,N,2002,2002/03/01 00:00:00+00,70,,0,C,Denver,,80204,0,Denver,F,West,,,NE,,,Bannock St,W 5th Ave,,,,,1,Bannock St & W 5th Ave (Stop No. 12325)
-11687537.4341,4825903.5883,7925196,12326,-104.990925,39.723912,3143195.25024756,1688965.63386896,active,52,Bannock St & W 5th Ave,S,2002,2002/03/01 00:00:00+00,70,,0,C,Denver,,80204,0,Denver,F,West,,,SW,,,Bannock St,W 5th Ave,,,,,0,Bannock St & W 5th Ave (Stop No. 12326)
-11687452.9435,4826875.0923,7925197,12328,-104.990166,39.730624,3143395.02226746,1691411.75497248,active,52,Bannock St & W 9th Ave,N,2002,2002/03/01 00:00:00+00,65,,0,A,Denver,,80204,0,Denver,F,West,,,NE,,,Bannock St,W 9th Ave,,,,,0,Bannock St & W 9th Ave (Stop No. 12328)
-11687066.4407,4819320.5179,7925198,13558,-104.986694,39.678413,3144479.00030395,1672398.95091708,active,21,Evans Ave & S Broadway,E,2002,2002/03/01 00:00:00+00,217,,999,D,Denver,0527212034000,80210,166,Denver,F,East,,,SE,,SHLTR REMOVED 10-04,E Evans Av,S Broadway,,,,Broadway - Evans,0,Evans Ave & S Broadway (Stop No. 13558)
-11687210.374,4819344.7095,7925199,13559,-104.98798699,39.67858024,3144114.72752,1672457.81494,active,21,W Evans Ave & S Broadway,W,2013,2013/07/05 00:00:00+00,65,,999,D,Denver,,80223,166,Denver,F,West,,,NW,,SHLTR REMOVED,W Evans Av,S Broadway,,,,Broadway - Evans,0,W Evans Ave & S Broadway (Stop No. 13559)
-11690770.3736,4819346.2648,7925200,13564,-105.019967,39.678591,3135113.47693825,1672412.5871712,active,21,W Evans Ave & S Clay St,E,2002,2002/03/01 00:00:00+00,75,,0,D,Denver,,80219,0,Denver,F,West,,,SE,,,W Evans Av,S Clay St,,,,,0,W Evans Ave & S Clay St (Stop No. 13564)
-11690870.2283,4819365.3575,7925201,13565,-105.020864,39.678723,3134860.74973721,1672459.33611763,active,"21, 29, 31, 36, 35, 30",W Evans Ave & S Clay St,W,2002,2002/03/01 00:00:00+00,105,,0,D,Denver,,80219,0,Denver,F,West,,,NW,,,W Evans Av,S Clay St,,,,,1,W Evans Ave & S Clay St (Stop No. 13565)
-11683588.7077,4819333.5359,7925202,13567,-104.955453,39.678503,3153272.03031267,1672482.93046322,active,21,Evans Ave & S Clayton St,W,2002,2002/03/01 00:00:00+00,124,,0,A,Denver,,80210,0,Denver,F,East,,,NW,,,E Evans Av,S Clayton St,,,,,0,Evans Ave & S Clayton St (Stop No. 13567)
-11682722.7534,4819310.9746,7925203,13572,-104.947674,39.678347,3155461.88107714,1672439.32494637,active,21,Evans Ave & S Cook St,E,2002,2002/03/01 00:00:00+00,65,,0,A,Denver,,80210,0,Denver,F,East,,,SE,,,E Evans Av,S Cook St,,,,,0,Evans Ave & S Cook St (Stop No. 13572)
-11682793.1085,4819332.6675,7925204,13573,-104.948306,39.678497,3155283.6639215,1672492.88218863,active,21,Evans Ave & S Cook St,W,2002,2002/03/01 00:00:00+00,73,,0,A,Denver,,80210,0,Denver,F,East,,,NW,,,E Evans Av,S Cook St,,,,,0,Evans Ave & S Cook St (Stop No. 13573)
